    
 Bangalore Rural | Hoskote       | Shivanapura      |260| G.H.P.S.Chikkanahalli
 Bangalore Rural | Hoskote       | Begur            |215| G.H.P.S.Doddahullur
 Bangalore Rural | Hoskote       | Kalkunte         |197| G.H.P.S.Turuvaranga
 Bangalore       | Anekal        | Bannerghatta     |302| G.H.P.S.Bilwardanahalli
 Davanagere      | Harapanahalli | Chirstahalli     |550| G.H.P.S.Alagilwad
 Bangalore       | Anekal        | Bannerghatta     |306| G.H.P.S.Malenallasandra
 Dharwad         | Kalghatgi     | Mukkal           |138| G.H.P.S. Bammigatti (KBS) 
 Bangalore Rural | Hoskote       | Sulibele         |252| G.H.P.S.Sulibele
 Ramnagara      | Kanakapura    | Hukunda          |24| G.H.P.S. Hukunda
 Bangalore       | Anekal        | Haragadde        |312| Madapattana
 Ramnagara      | Kanakapura    | Narayanapura     |127| G.H.P.S. Bettegowdanadoddi
 Ramnagara      | Kanakapura    | Maralebekuppe    |29| G.H.P.S. Krishnayyanadoddi
 Bangalore Rural | Hoskote       | Nelavagilu       |452| G.H.P.S.Nelavagilu
 Dharwad         | Kalghatgi     | Mukkal           |471| G.H.P.S.Bammigatti (KGS) 
 Ramnagara      | Kanakapura    | Kanakapura Town  |85| G.H.P.S. Kanakapura - G.K.B.M.S
 Ramnagara      | Kanakapura    | Athihalli        |118| G.H.P.S. Venkatarayanadoddi
 Dharwad         | Kalghatgi     | Dhummavada       |522| G.H.P.S.Kalasanakoppa
 Bangalore Rural | Hoskote       | Begur            |221| G.H.P.S.Mallimakanapura
 Ramnagara      | Kanakapura    | Banavasi         |43| G.H.P.S. Banavasi
 Bangalore Rural | Hoskote       | Tavarekere       |449| G.H.P.S.Doddadenahalli
 Chikballapur    | Gauribidnur   | Thondebhavi      |300| G.H.P.S.Dandiganahalli
 Ramnagara      | Kanakapura    | Cheeluru         |3| G.H.P.S. Cheeluru
 Davanagere      | Harapanahalli | Goverhalli       |563| G.H.P.S.Haraknalu
 Bangalore Rural | Hoskote       | Devanagundi      |192| G.H.P.S.Muthkur
 Ramnagara      | Kanakapura    | Harohalli        |5| G.H.P.S. Harohalli
 Bangalore Rural | Hoskote       | Alappanahalli    |243| G.H.P.S.Kamsandra
 Chikballapur    | Chikballapur  | Muddenahalli     |270| G.H.P.S.Kanganahalli
 Chikballapur    | Chikballapur  | SreeRampura      |280| G.H.P.S.Yaluvahalli
 Bangalore       | Anekal        | Harapanahalli    |327| Kalbalu
 Dharwad         | Kalghatgi     | Mishrikoti       |465| G.H.P.S.Mishrikoti   
 Bangalore Rural | Hoskote       | Alappanahalli    |242| G.H.P.S.Kumblahalli
 Dharwad         | Kalghatgi     | Dastikoppa       |163| G.H.P.S. Madakihonnalli
 Bangalore Rural | Hoskote       | Vagata           |225| G.H.P.S.Kodihalli
 Ramnagara      | Kanakapura    | Kaggalahalli     |62| G.H.P.S. Gabbadi
 Ramnagara      | Kanakapura    | Kanakapura Town  |124| G.H.P.S. Melekote
 Davanagere      | Harapanahalli | Nilgunda         |552| G.H.P.S.Ittigudi
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |109| G.H.P.S. Somedyapanahalli
 Dharwad         | Kalghatgi     | Muthagi          |144| G.H.P.S. Hasarambi
 Davanagere      | Harapanahalli | Arasikare        |547| G.H.P.S.Hikkimgeri
 Bangalore Rural | Hoskote       | Sulibele         |253| G.H.P.S.Kurubarahatte
 Chikballapur    | Chikballapur  | Peresandra       |1054| G.H.P.S.Peresandra
 Ramnagara      | Kanakapura    | Hegganuru        |56| G.H.P.S. Doddalahalli
 Chikballapur    | Chikballapur  | Nayanahalli      |265| G.H.P.S.Andarlahalli
 Ramnagara      | Kanakapura    | Athihalli        |42| G.H.P.S. Arekattedoddi
 Ramnagara      | Kanakapura    | Banavasi         |111| G.H.P.S. Thattekere
